relation_idx,relation_name,source_factor,donor_factor,source_idx,donor_idx,source_target_id,donor_target_id,source_target_token,donor_target_token,source_target_clerp,donor_target_clerp,n_source_features,n_donor_features,clean_top1,clean_top1_token,steered_top1,steered_top1_token,top5_ids,top5_tokens,top5_probs,clean_top1_is_source_exact,clean_top1_is_source,top1_is_donor_exact,top1_is_donor,top5_has_donor_exact,top5_has_donor,success_exact,success,p_source_clean,p_source_steered,p_donor_clean,p_donor_steered
0,capital_country,-1.0,4.0,0,1,38365,204061, jordan, greece,"Output "" jordan"" (p=0.385)","Output "" greece"" (p=0.883)",16,11,38365, jordan,210854, egypt,210854|91174|37142|4641|573, egypt| israel| turkey| nor| the,0.24534665|0.14881027|0.062033348|0.062033348|0.048311617,1,1,0,0,0,0,0,0,0.4005832374095917,0.022820793092250824,8.150601934175938e-05,0.0009419266716577113
0,capital_country,-1.0,8.0,0,1,38365,204061, jordan, greece,"Output "" jordan"" (p=0.385)","Output "" greece"" (p=0.883)",16,11,38365, jordan,12919, hung,12919|20940|73017|37142|64028, hung| swit| mexico| turkey| bots,0.58875728|0.13136952|0.07031703|0.037637994|0.022828598,1,1,0,0,0,0,0,0,0.4005832374095917,0.0001357438013656065,8.150601934175938e-05,0.013846244663000107
0,capital_country,-2.0,4.0,0,1,38365,204061, jordan, greece,"Output "" jordan"" (p=0.385)","Output "" greece"" (p=0.883)",16,11,38365, jordan,586, A,586|570|752|5478|637, A| S| U| Ha| E,0.16252336|0.11170056|0.098575398|0.076770604|0.059789009,1,1,0,0,0,0,0,0,0.4005832374095917,0.0001307879138039425,8.150601934175938e-05,1.1428121069911867e-05
0,capital_country,-2.0,8.0,0,1,38365,204061, jordan, greece,"Output "" jordan"" (p=0.385)","Output "" greece"" (p=0.883)",16,11,38365, jordan,12919, hung,12919|20940|4641|64028|37142, hung| swit| nor| bots| turkey,0.79807585|0.084116571|0.024099803|0.01461727|0.012899695,1,1,0,0,0,0,0,0,0.4005832374095917,1.3329224202607293e-05,8.150601934175938e-05,0.0013596179196611047
0,capital_country,-1.0,4.0,0,3,38365,709, jordan, le,"Output "" jordan"" (p=0.385)","Output "" le"" (p=0.719)",16,2,38365, jordan,11965, Israel,11965|20461|30550|18853|29076, Israel| Egypt| Saudi| Jordan| Iraq,0.36814383|0.22329053|0.072491817|0.072491817|0.023534648,1,1,0,0,0,0,0,0,0.4005832374095917,0.00017968927568290383,0.018735527992248535,0.0004310521180741489
0,capital_country,-1.0,8.0,0,3,38365,709, jordan, le,"Output "" jordan"" (p=0.385)","Output "" le"" (p=0.719)",16,2,38365, jordan,11965, Israel,11965|20461|30550|18853|29076, Israel| Egypt| Saudi| Jordan| Iraq,0.44983247|0.18751806|0.10037119|0.060878202|0.036924496,1,1,0,0,0,0,0,0,0.4005832374095917,1.2386789421725553e-05,0.018735527992248535,0.00010371331154601648
0,capital_country,-2.0,4.0,0,3,38365,709, jordan, le,"Output "" jordan"" (p=0.385)","Output "" le"" (p=0.719)",16,2,38365, jordan,11965, Israel,11965|30550|5478|20461|5861, Israel| Saudi| Ha| Egypt| Ca,0.10362706|0.080704838|0.062852986|0.03812227|0.03364278,1,1,0,0,0,0,0,0,0.4005832374095917,1.1064302896102163e-07,0.018735527992248535,1.8423719438942499e-06
0,capital_country,-2.0,8.0,0,3,38365,709, jordan, le,"Output "" jordan"" (p=0.385)","Output "" le"" (p=0.719)",16,2,38365, jordan,11965, Israel,11965|30550|20461|53731|40312, Israel| Saudi| Egypt| Cairo| Qatar,0.26112711|0.17946988|0.066023275|0.031187188|0.024288606,1,1,0,0,0,0,0,0,0.4005832374095917,2.0196672778638458e-08,0.018735527992248535,1.4158961221255595e-06
0,capital_country,-1.0,4.0,0,4,38365,77341, jordan, germany,"Output "" jordan"" (p=0.385)","Output "" germany"" (p=0.961)",16,10,38365, jordan,2649, Che,2649|5213|585|752|573, Che| Da| C| U| the,0.20534846|0.15992555|0.10991511|0.075543486|0.045819439,1,1,0,0,0,0,0,0,0.4005832374095917,3.886323611368425e-06,0.0007264552405104041,6.753418233529374e-07
0,capital_country,-1.0,8.0,0,4,38365,77341, jordan, germany,"Output "" jordan"" (p=0.385)","Output "" germany"" (p=0.961)",16,10,38365, jordan,582, re,582|5730|11124|573|125147, re| former| Russia| the| CRS,0.24285677|0.21432035|0.078844048|0.078844048|0.061403807,1,1,0,0,0,0,0,0,0.4005832374095917,2.8805533514031367e-09,0.0007264552405104041,4.7492294541484625e-09
0,capital_country,-2.0,4.0,0,4,38365,77341, jordan, germany,"Output "" jordan"" (p=0.385)","Output "" germany"" (p=0.961)",16,10,38365, jordan,5213, Da,5213|2649|5861|6886|585, Da| Che| Ca| Bal| C,0.58719587|0.21601731|0.054617722|0.022768054|0.01564824,1,1,0,0,0,0,0,0,0.4005832374095917,5.6606528492375574e-11,0.0007264552405104041,4.9955081737884655e-11
0,capital_country,-2.0,8.0,0,4,38365,77341, jordan, germany,"Output "" jordan"" (p=0.385)","Output "" germany"" (p=0.961)",16,10,38365, jordan,5213, Da,5213|2649|11124|10855|125147, Da| Che| Russia| Ros| CRS,0.4609212|0.13205613|0.062378898|0.048580736|0.042872347,1,1,0,0,0,0,0,0,0.4005832374095917,1.1724293953220555e-13,0.0007264552405104041,1.6184888715700674e-12
0,capital_country,-1.0,4.0,0,5,38365,2100, jordan, bel,"Output "" jordan"" (p=0.385)","Output "" bel"" (p=0.789)",16,3,38365, jordan,5478, Ha,11965|5478|20461|30550|8125, Israel| Ha| Egypt| Saudi| Africa,0.072806239|0.072806239|0.064251281|0.044159219|0.038970374,1,1,0,0,0,0,0,0,0.4005832374095917,2.442377262923401e-05,2.4857929020072334e-05,1.6620585938653676e-06
0,capital_country,-1.0,8.0,0,5,38365,2100, jordan, bel,"Output "" jordan"" (p=0.385)","Output "" bel"" (p=0.789)",16,3,38365, jordan,8125, Africa,8125|30550|687|15922|11965, Africa| Saudi| O| Nigeria| Israel,0.13320784|0.055529289|0.055529289|0.055529289|0.049004432,1,1,0,0,0,0,0,0,0.4005832374095917,1.9633766896731686e-06,2.4857929020072334e-05,2.09000381801161e-06
