relation_idx,relation_name,source_factor,donor_factor,source_idx,donor_idx,source_target_id,donor_target_id,source_target_token,donor_target_token,source_target_clerp,donor_target_clerp,n_source_features,n_donor_features,clean_top1,clean_top1_token,steered_top1,steered_top1_token,top5_ids,top5_tokens,top5_probs,clean_top1_is_source_exact,clean_top1_is_source,top1_is_donor_exact,top1_is_donor,top5_has_donor_exact,top5_has_donor,success_exact,success,p_source_clean,p_source_steered,p_donor_clean,p_donor_steered
0,capital_country,0.0,2.0,0,1,38365,204061, jordan, greece,"Output "" jordan"" (p=0.385)","Output "" greece"" (p=0.883)",16,11,38365, jordan,210854, egypt,210854|38365|91174|13825|71117, egypt| jordan| israel| egy| ira,0.35294878|0.2748768|0.14713094|0.024018466|0.021196222,1,1,0,0,0,0,0,0,0.4005832374095917,0.27487680315971375,8.150601934175938e-05,0.00022120241192169487
0,capital_country,0.0,4.0,0,1,38365,204061, jordan, greece,"Output "" jordan"" (p=0.385)","Output "" greece"" (p=0.883)",16,11,38365, jordan,210854, egypt,210854|91174|38365|71117|7185, egypt| israel| jordan| ira| middle,0.44291526|0.23707548|0.11198652|0.028314626|0.022051452,1,1,0,0,0,0,0,0,0.4005832374095917,0.11198651790618896,8.150601934175938e-05,0.0026336703449487686
0,capital_country,0.0,8.0,0,1,38365,204061, jordan, greece,"Output "" jordan"" (p=0.385)","Output "" greece"" (p=0.883)",16,11,38365, jordan,73017, mexico,204061|73017|210854|20940|12919, greece| mexico| egypt| swit| hung,0.14305213|0.14305213|0.11140911|0.11140911|0.11140911,1,1,0,0,1,1,0,0,0.4005832374095917,0.0038122099358588457,8.150601934175938e-05,0.1430521309375763
0,capital_country,0.0,2.0,0,3,38365,709, jordan, le,"Output "" jordan"" (p=0.385)","Output "" le"" (p=0.719)",16,2,38365, jordan,38365, jordan,38365|210854|91174|2345|709, jordan| egypt| israel| sy| le,0.43156338|0.23099923|0.084979862|0.040141646|0.031262346,1,1,0,0,1,1,0,0,0.4005832374095917,0.4315633773803711,0.018735527992248535,0.0312623456120491
0,capital_country,0.0,4.0,0,3,38365,709, jordan, le,"Output "" jordan"" (p=0.385)","Output "" le"" (p=0.719)",16,2,38365, jordan,38365, jordan,38365|210854|91174|2345|709, jordan| egypt| israel| sy| le,0.37856814|0.20263293|0.084469974|0.065785274|0.039900787,1,1,0,0,1,1,0,0,0.4005832374095917,0.3785681426525116,0.018735527992248535,0.03990078717470169
0,capital_country,0.0,8.0,0,3,38365,709, jordan, le,"Output "" jordan"" (p=0.385)","Output "" le"" (p=0.719)",16,2,38365, jordan,18853, Jordan,18853|38365|709|210854|20461, Jordan| jordan| le| egypt| Egypt,0.25874516|0.20151094|0.074131727|0.065421022|0.065421022,1,1,0,0,1,1,0,0,0.4005832374095917,0.2015109360218048,0.018735527992248535,0.07413172721862793
0,capital_country,0.0,2.0,0,4,38365,77341, jordan, germany,"Output "" jordan"" (p=0.385)","Output "" germany"" (p=0.961)",16,10,38365, jordan,210854, egypt,210854|38365|91174|573|2345, egypt| jordan| israel| the| sy,0.30262792|0.23568685|0.18355311|0.059590966|0.024841212,1,1,0,0,0,0,0,0,0.4005832374095917,0.23568685352802277,0.0007264552405104041,0.0006218875641934574
0,capital_country,0.0,4.0,0,4,38365,77341, jordan, germany,"Output "" jordan"" (p=0.385)","Output "" germany"" (p=0.961)",16,10,38365, jordan,573, the,573|210854|91174|5730|38365, the| egypt| israel| former| jordan,0.23329581|0.16034171|0.16034171|0.080624878|0.058986418,1,1,0,0,0,0,0,0,0.4005832374095917,0.058986417949199677,0.0007264552405104041,0.0004503668751567602
0,capital_country,0.0,8.0,0,4,38365,77341, jordan, germany,"Output "" jordan"" (p=0.385)","Output "" germany"" (p=0.961)",16,10,38365, jordan,582, re,582|5730|573|32376|71288, re| former| the| democratic| communist,0.42538956|0.37540495|0.10755532|0.039567392|0.0036803407,1,1,0,0,0,0,0,0,0.4005832374095917,8.569939382141456e-06,0.0007264552405104041,1.3990040770295309e-06
0,capital_country,0.0,2.0,0,5,38365,2100, jordan, bel,"Output "" jordan"" (p=0.385)","Output "" bel"" (p=0.789)",16,3,38365, jordan,38365, jordan,38365|210854|91174|2345|573, jordan| egypt| israel| sy| the,0.36805481|0.28664136|0.072474286|0.043957878|0.026661802,1,1,0,0,0,0,0,0,0.4005832374095917,0.3680548071861267,2.4857929020072334e-05,7.035030284896493e-05
0,capital_country,0.0,4.0,0,5,38365,2100, jordan, bel,"Output "" jordan"" (p=0.385)","Output "" bel"" (p=0.789)",16,3,38365, jordan,210854, egypt,210854|38365|91174|2345|573, egypt| jordan| israel| sy| the,0.33367801|0.22933333|0.084367014|0.057984542|0.039852157,1,1,0,0,0,0,0,0,0.4005832374095917,0.2293333262205124,2.4857929020072334e-05,0.00016286666505038738
0,capital_country,0.0,8.0,0,5,38365,2100, jordan, bel,"Output "" jordan"" (p=0.385)","Output "" bel"" (p=0.789)",16,3,38365, jordan,210854, egypt,210854|38365|91174|573|2345, egypt| jordan| israel| the| sy,0.31711346|0.11665954|0.080178834|0.075321048|0.066470593,1,1,0,0,0,0,0,0,0.4005832374095917,0.11665953695774078,2.4857929020072334e-05,0.0008907064911909401
0,capital_country,0.0,2.0,0,6,38365,12919, jordan, hung,"Output "" jordan"" (p=0.385)","Output "" hung"" (p=0.973)",16,8,38365, jordan,12919, hung,12919|210854|3393|2345|573, hung| egypt| som| sy| the,0.29141709|0.12148072|0.061084341|0.057383426|0.050640695,1,1,1,1,1,1,1,1,0.4005832374095917,0.012803974561393261,1.1030640962417237e-05,0.29141709208488464
0,capital_country,0.0,4.0,0,6,38365,12919, jordan, hung,"Output "" jordan"" (p=0.385)","Output "" hung"" (p=0.973)",16,8,38365, jordan,12919, hung,12919|132460|6889|16866|6069, hung| Hungry| rom| bos| bul,0.61716104|0.25727099|0.039453786|0.03072664|0.012808769,1,1,1,1,1,1,1,1,0.4005832374095917,2.1392824578470027e-07,1.1030640962417237e-05,0.6171610355377197
0,capital_country,0.0,8.0,0,6,38365,12919, jordan, hung,"Output "" jordan"" (p=0.385)","Output "" hung"" (p=0.973)",16,8,38365, jordan,132460, Hungry,132460|899|10620|12919|182306, Hungry| ro| RO| hung| Вес,0.61088181|0.13630615|0.082673863|0.039052363|0.034463596,1,1,0,0,1,1,0,0,0.4005832374095917,4.321466474812629e-17,1.1030640962417237e-05,0.039052363485097885
0,capital_country,0.0,2.0,0,7,38365,83354, jordan, australia,"Output "" jordan"" (p=0.385)","Output "" australia"" (p=0.918)",16,12,38365, jordan,83354, australia,83354|8625|219614|41111|2918, australia| Australia| australian| austral| aus,0.61086106|0.37050596|0.006786054|0.0041159494|0.0028288481,1,1,1,1,1,1,1,1,0.4005832374095917,0.00012429090566001832,0.00018367664597462863,0.61086106300354
0,capital_country,0.0,4.0,0,7,38365,83354, jordan, australia,"Output "" jordan"" (p=0.385)","Output "" australia"" (p=0.918)",16,12,38365, jordan,8625, Australia,8625|83354|130535|14847|219614, Australia| australia| AUSTRALIA| Australian| australian,0.96816081|0.025800612|0.0016493781|0.0016493781|0.0011335997,1,1,0,1,1,1,0,1,0.4005832374095917,1.975840463463996e-10,0.00018367664597462863,0.025800611823797226
0,capital_country,0.0,8.0,0,7,38365,83354, jordan, australia,"Output "" jordan"" (p=0.385)","Output "" australia"" (p=0.918)",16,12,38365, jordan,8625, Australia,8625|14847|32083|162536|109395, Australia| Australian|Australia| Australien| Aussie,0.97023231|0.029298477|0.00015374429|0.00015374429|7.2623669e-05,1,1,0,1,0,1,0,1,0.4005832374095917,2.2062890102307844e-18,0.00018367664597462863,3.430499054957181e-05
0,capital_country,0.0,2.0,0,8,38365,1600, jordan, den,"Output "" jordan"" (p=0.385)","Output "" den"" (p=0.445)",16,9,38365, jordan,38365, jordan,38365|210854|91174|709|573, jordan| egypt| israel| le| the,0.35136443|0.24148901|0.11407133|0.037033539|0.017493404,1,1,0,0,0,0,0,0,0.4005832374095917,0.3513644337654114,0.00013438070891425014,0.00126721803098917
0,capital_country,0.0,4.0,0,8,38365,1600, jordan, den,"Output "" jordan"" (p=0.385)","Output "" den"" (p=0.445)",16,9,38365, jordan,38365, jordan,38365|91174|210854|614|18853, jordan| israel| egypt| be| Jordan,0.15475395|0.1205225|0.093863018|0.093863018|0.082833827,1,1,0,0,0,0,0,0,0.4005832374095917,0.15475395321846008,0.00013438070891425014,0.01631094515323639
0,capital_country,0.0,8.0,0,8,38365,1600, jordan, den,"Output "" jordan"" (p=0.385)","Output "" den"" (p=0.445)",16,9,38365, jordan,614, be,614|1600|717|597|498, be| den| al| y| c,0.60989863|0.28809571|0.020869583|0.012658042|0.0086997366,1,1,0,0,1,1,0,0,0.4005832374095917,1.1542640095285606e-05,0.00013438070891425014,0.28809571266174316
0,capital_country,0.0,2.0,1,0,204061,38365, greece, jordan,"Output "" greece"" (p=0.883)","Output "" jordan"" (p=0.385)",11,16,204061, greece,204061, greece,204061|88530|46174|37142|583, greece| greek| gree| turkey| g,0.96733791|0.0044796634|0.0030788246|0.0027170533|0.0027170533,1,1,0,0,0,0,0,0,0.8682636618614197,0.9673379063606262,1.2671252989093773e-06,0.0018674014136195183
0,capital_country,0.0,4.0,1,0,204061,38365, greece, jordan,"Output "" greece"" (p=0.883)","Output "" jordan"" (p=0.385)",11,16,204061, greece,38365, jordan,38365|204061|91174|210854|583, jordan| greece| israel| egypt| g,0.52289075|0.31714928|0.020274675|0.017892338|0.015789934,1,1,1,1,1,1,1,1,0.8682636618614197,0.31714928150177,1.2671252989093773e-06,0.5228907465934753
0,capital_country,0.0,8.0,1,0,204061,38365, greece, jordan,"Output "" greece"" (p=0.883)","Output "" jordan"" (p=0.385)",11,16,204061, greece,48619,Jordan,48619|19770|38365|231278|122030,Jordan|Middle| jordan| fernández|étranger,0.93982774|0.046791267|0.0049317633|0.003389548|0.00085701194,1,1,0,1,1,1,0,1,0.8682636618614197,2.0417191548549596e-10,1.2671252989093773e-06,0.004931763280183077
0,capital_country,0.0,2.0,1,3,204061,709, greece, le,"Output "" greece"" (p=0.883)","Output "" le"" (p=0.719)",11,2,204061, greece,204061, greece,204061|25553|88530|46174|2248, greece| Greece| greek| gree| gre,0.8612088|0.10285673|0.0095671667|0.0045192093|0.002741039,1,1,0,0,0,0,0,0,0.8682636618614197,0.8612087965011597,9.966712241293862e-06,3.909882070729509e-05
0,capital_country,0.0,4.0,1,3,204061,709, greece, le,"Output "" greece"" (p=0.883)","Output "" le"" (p=0.719)",11,2,204061, greece,204061, greece,204061|25553|88530|46174|2248, greece| Greece| greek| gree| gre,0.80076963|0.15768088|0.011422365|0.0042020534|0.0027130495,1,1,0,0,0,0,0,0,0.8682636618614197,0.8007696270942688,9.966712241293862e-06,0.00016293129010591656
0,capital_country,0.0,8.0,1,3,204061,709, greece, le,"Output "" greece"" (p=0.883)","Output "" le"" (p=0.719)",11,2,204061, greece,25553, Greece,25553|204061|88530|573|597, Greece| greece| greek| the| y,0.50937498|0.39670163|0.0093295285|0.0082332799|0.0068256292,1,1,0,0,0,0,0,0,0.8682636618614197,0.3967016339302063,9.966712241293862e-06,0.0034321416169404984
0,capital_country,0.0,2.0,1,5,204061,2100, greece, bel,"Output "" greece"" (p=0.883)","Output "" bel"" (p=0.789)",11,3,204061, greece,204061, greece,204061|25553|88530|46174|12387, greece| Greece| greek| gree| ancient,0.86208069|0.10296085|0.0065820669|0.003992226|0.0024214075,1,1,0,0,0,0,0,0,0.8682636618614197,0.8620806932449341,1.1293764146103058e-05,2.6899404474534094e-05
0,capital_country,0.0,4.0,1,5,204061,2100, greece, bel,"Output "" greece"" (p=0.883)","Output "" bel"" (p=0.789)",11,3,204061, greece,204061, greece,204061|25553|88530|37142|46174, greece| Greece| greek| turkey| gree,0.82355654|0.14311266|0.0040597939|0.0038138239|0.0021730512,1,1,0,0,0,0,0,0,0.8682636618614197,0.8235565423965454,1.1293764146103058e-05,5.790985233034007e-05
0,capital_country,0.0,8.0,1,5,204061,2100, greece, bel,"Output "" greece"" (p=0.883)","Output "" bel"" (p=0.789)",11,3,204061, greece,204061, greece,204061|25553|37142|25032|573, greece| Greece| turkey| europe| the,0.68373418|0.25153178|0.010381955|0.0040656319|0.003819308,1,1,0,0,0,0,0,0,0.8682636618614197,0.6837341785430908,1.1293764146103058e-05,0.00027666971436701715
0,capital_country,0.0,2.0,1,6,204061,12919, greece, hung,"Output "" greece"" (p=0.883)","Output "" hung"" (p=0.973)",11,8,204061, greece,204061, greece,204061|12919|25553|88530|7667, greece| hung| Greece| greek| mac,0.84729564|0.042184364|0.015518761|0.0094126044|0.0094126044,1,1,0,0,1,1,0,0,0.8682636618614197,0.8472956418991089,2.0891361600661185e-06,0.042184364050626755
0,capital_country,0.0,4.0,1,6,204061,12919, greece, hung,"Output "" greece"" (p=0.883)","Output "" hung"" (p=0.973)",11,8,204061, greece,132460, Hungry,132460|12919|28126|7667|146564, Hungry| hung| hungry| mac|Hungry,0.68695116|0.22302039|0.049762577|0.023506176|0.0019295046,1,1,0,0,1,1,0,0,0.8682636618614197,0.0005528123001568019,2.0891361600661185e-06,0.22302038967609406
0,capital_country,0.0,8.0,1,6,204061,12919, greece, hung,"Output "" greece"" (p=0.883)","Output "" hung"" (p=0.973)",11,8,204061, greece,132460, Hungry,132460|5439|146564|12919|10620, Hungry| Mac|Hungry| hung| RO,0.9447822|0.022219149|0.0081739677|0.0063658925|0.003861109,1,1,0,0,1,1,0,0,0.8682636618614197,1.871621889588948e-13,2.0891361600661185e-06,0.006365892477333546
0,capital_country,0.0,2.0,1,8,204061,1600, greece, den,"Output "" greece"" (p=0.883)","Output "" den"" (p=0.445)",11,9,204061, greece,204061, greece,204061|25553|13950|88530|46174, greece| Greece| ath| greek| gree,0.9381566|0.032101952|0.0063212495|0.005578483|0.002635089,1,1,0,0,0,0,0,0,0.8682636618614197,0.9381566047668457,1.3622880942421034e-05,0.0002956487878691405
0,capital_country,0.0,4.0,1,8,204061,1600, greece, den,"Output "" greece"" (p=0.883)","Output "" den"" (p=0.445)",11,9,204061, greece,204061, greece,204061|25553|13950|37142|1600, greece| Greece| ath| turkey| den,0.72361469|0.16146027|0.024760732|0.017017785|0.017017785,1,1,0,0,1,1,0,0,0.8682636618614197,0.7236146926879883,1.3622880942421034e-05,0.01701778545975685
0,capital_country,0.0,8.0,1,8,204061,1600, greece, den,"Output "" greece"" (p=0.883)","Output "" den"" (p=0.445)",11,9,204061, greece,1600, den,1600|614|717|12144|842, den| be| al| pit| per,0.93663299|0.015139262|0.0055694231|0.004914999|0.004914999,1,1,1,1,1,1,1,1,0.8682636618614197,0.0004571661411318928,1.3622880942421034e-05,0.9366329908370972
0,capital_country,0.0,2.0,1,9,204061,15600, greece, bang,"Output "" greece"" (p=0.883)","Output "" bang"" (p=0.953)",11,1,204061, greece,204061, greece,204061|25553|88530|46174|2248, greece| Greece| greek| gree| gre,0.88580209|0.082392432|0.0067631821|0.0046482631|0.0031947014,1,1,0,0,0,0,0,0,0.8682636618614197,0.8858020901679993,1.0731365307492524e-07,5.860114171696296e-08
0,capital_country,0.0,4.0,1,9,204061,15600, greece, bang,"Output "" greece"" (p=0.883)","Output "" bang"" (p=0.953)",11,1,204061, greece,204061, greece,204061|25553|88530|46174|2248, greece| Greece| greek| gree| gre,0.89775574|0.073692277|0.0053382507|0.0036689225|0.0032378128,1,1,0,0,0,0,0,0,0.8682636618614197,0.8977557420730591,1.0731365307492524e-07,3.716652940966014e-08
0,capital_country,0.0,8.0,1,9,204061,15600, greece, bang,"Output "" greece"" (p=0.883)","Output "" bang"" (p=0.953)",11,1,204061, greece,204061, greece,204061|25553|88530|2248|46174, greece| Greece| greek| gre| gree,0.90825307|0.065793633|0.0047660745|0.0028907706|0.0022513343,1,1,0,0,0,0,0,0,0.8682636618614197,0.9082530736923218,1.0731365307492524e-07,1.4724805375010419e-08
